;Unnamed: 0;URL;Osoite;Alue;Myyntihinta;Velaton hinta;Pinta-ala;Neliöhinta;Rahoitusvastike;Hoitovastike;Yhtiövastike;Muut kustannukset;Kerros;Huonekokoonpano;Huoneet;Vapautuminen;Parveke;Kylpyhuoneen varusteet;Sauna;Taloyhtiössä sauna;Säilytystilat;Näkymät;Tulevat remontit;Tehdyt remontit;Infoteksti;Kerroslukema
0;0;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15624562;Rantatie 37 C 56, Santalahti, Tampere;Santalahti;54746.83;181800.0;38.0;4784.21;88.81;190.0;278.81;Rahoitusvastikearvio on PO-vastike 1, jota kerätään n. 2,5 v ajan valmistumisesta, kattaa vain koron. Arvio on laskennallinen. Laskettu 7.11.2017 tiedossa olleen Eb-koron perusteella lisättynä pankin marginaalilla 0,82 %. Lisätietoja hinnastosta..;2 / 7;2h, kt, vh, kph/wc, lasitettu parveke;2.0;Kohteen valmistuttua;True;Kylpyhuone, suihku, kylpyhuoneessa pesukoneliitäntä;False;False;Kaapistot, vaatehuone;;-;-;"Tervetuloa Santalahteen! Asunto Oy Tampereen Pisparannan Arielle valmistui 29.11.2019. 
Uusi Santalahti laajentaa keskustaa kohti Lielahtea ja rakentuvaa Hiedanrantaa. Ratikkareitin varrella Pisparannassa olet osa uudenlaista Tamperetta. Näsijärven rannan välitön läheisyys sekä korttelialueen suojaisa sisäpiha luovat hyvät puitteet asumiseen ja viihtymiseen. 

Tässä kodissa on tehokkaasti käytetyt neliöt ja kunnon kokoinen kylpyhuone. Asumismukavuutta lisää käytännöllinen vaatehuone, sekä iso lasitettu parveke.

Sovi oma esittelyaikasi kohteen välittäjältä!";2.0
1;1;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15624491;Hatanpään puistokuja 29 B, Hatanpää, Tampere;Hatanpää;95510.49;249000.0;50.0;4980.0;175.5;235.0;410.5;;7 / 8;2h+k+sauna;2.0;sopimuksen mukaan;True;Pesutilojen kuvaus: Kaunis ja erittäin hyvin toimiva. Varustus: pesukoneliitäntä, lattialämmitys, wc-istuin, suihku, peilikaappi.;True;False;vaatehuone;Huoneiston ikkunat etelään;;;"Tähän asuntoon ei voi olla ihastumatta! Lähes Tampereen keskustassa Hatanpäällä 2017 valmistununeessa talossa vapautumassa nopeallakin aikataululla saunallinen 50m2  kaksio mikä sijaitsee talon ylimmässä asuinkerroksessa. Yläpuolella ainoastaan yhtiön saunatilat.
Laatua peruskunnosta jo rakennusvaiheessa nostettu tyylikkäästi. Keittiön AEG- kodinkoneet integroitu, väliseinän tilalle  laitettu käytännöllinen saareke runsain säilytystiloin. Näin tila on avara ja valoa tulvii sisään lähes koko seinän kokoisista ikkunoista.  Makuuhuoneesta käynti tilavalle parvekkeelle. Makuuhuoneessa sijaitseva vaatehuoneen ovi  vaihdettu kätevään ja tilaa antavaan liukuoveen. 
Lähistöllä Arboretumin upea puisto ja Pyhäjärven rantaankin vain muutaman minuutin kävelymatka. Vieressä sijaitsee lähikauppa ja liikenneyhteydet loistavat.

Tähän kohteeseen pääsee tutustumaan  yksityisnäytöllä eli soita ja varaa  sinulle sopiva aika.

Esittelyt ja lisätiedot 
Riitta Hellgren
p.0447688106
riitta.hellgren@spkoti.fi

Sp-Koti Aula
Satamakatu 6
33200 Tampere";7.0
2;2;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15624318;Itsenäisyydenkatu 3, Tampereen keskusta, Tampere;Tampereen keskusta;315000.0;315000.0;47.5;6631.58;0.0;180.5;180.5;;4 / 7;Citykaksio Luminary;2.0;;True;Pesukoneliitäntä, Peilikaappi, WC-istuin, Suihkuseinä, Allas, Kaapisto, Käsisuihku, Tilaa pesukoneelle, Mukavuuslattialämmitys, Suihku;True;False;Kellarikomero, Kaapisto;Kaupunkimaisema, Katu, Naapurusto, Sisäpiha, Etupiha, Takapiha, Piha;;;"Asunto Oy Tampereen Luminarysta keskustakaksio tarjolla. Itsenäisyydenkadun puoleinen cityasunto, josta esteetön ikkunanäkymä Tullin aukiolle. Valoisa olohuone, keittiö integroiduin kodinkonein, lasitettu parveke, makuuhuone, tyylikäs kylpyhuone kodinhoitosyvennyksellä ja sauna. Huoneistossa on itse säädettävissä oleva viilennysjärjestelmä. Neljäs kerros (4/7), asuinpinta-alaa 47,5m2 ja hoitovastike 180,50 € kuukaudessa. Rakennuksen aulassa on kahvila ja ravintola. Yhtiön sisäpihalla lapsille leikkipaikka ja 7.kerroksessa sijaitseva kattoterassi on myös asukkaiden vapaassa käytössä.

Katso kohteen tarkemmat tiedot www.habita.com -sivustolta.";4.0
3;3;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15624159;Pihlajakatu 6 A, Rantaperkiö, Tampere;Rantaperkiö;179000.0;179000.0;49.5;3616.16;0.0;216.9;216.9;Hoitovastike on neliöperusteinen. Jos huoneistoon kohdistuisi rahoitusvastiketta, olisi se neliöperusteinen. Vesimaksuennakko 18,20 €/hlö/kk, tasaus mittauksen mukaan. Autopaikkavuokra 10 €/kk.;3 / 4;2h,k,s;2.0;Heti;True;Sauna, sähkökiuas, kylpyhuone, suihku, suihkukaappi, peilikaappi, pesukoneliitäntä, lattialämmitys kylpyhuoneessa.;True;False;Kellarikomero;;"Suunnitellut: Kunnossapitotarveselvityksen mukaan:
2020 Lämmitysjärjestelmän korjaustarpeiden selvittäminen ja huolto
2021 parvekelasien huolto, lämmön tasapainotus,suunnitteluvaihe
2021-2022 Lämmön tasapainotus, toteutusvaihe
2023 Porraskäytävien maalauskorjaukset, ala-aulat
2025 Selvitys maalämmön mahdollisuudesta

Vuosittain LTO-laitteiden suodattimien vaihto 1 krt/vuosi, tehdään taloyhtiön puolesta
pysyvä LTO-laitteiden suodattimien vaihto 1 krt/vuosi (taloyhtiö hankkii suodattimet, asukkaat vaihtavat itse.)";"2015 ilmanvaihtokanavien puhdistus, ilmamäärien säätö, laitteiden huolto
2016 kiinteistön 10-vuotistarkastus
2018 huoneistojen LTO-laitteiden suodattimien vaihto ja puhdistus
2018-2020 Ulkopuolisten rakenteiden korjaukset, autokatosten maalauskorjaus, mahdollisesti talkoilla";"Valoisa kaksio heti vapaana suositulta Rantaperkiön alueelta. 

Tässä kodissa on valoisa olohuone, jonka yhteydessä ruokailutila ja keittiö. Olohuoneesta käynti isolle lasitetulle parvekkeelle. Makuuhuoneen yhteydessä on tilava vaatehuone. Ja oma sauna kuuluu myös tähän kotiin.

Asunto Oy Tampereen Pihlajanterttu on hyvin hoidettu taloyhtiö, jonka lämmitysmuotona on kaukolämpö.

Läheltä on lenkkipolut ja ja aamu-uinnilla voi pulahtaa Pyhäjärvessä. Asunnon läheisyydestä löytyvät kaikki palvelut kuten kaupat, päiväkodit ja koulut. 

Lisätiedot ja esittelyt Kirsi Muilu 050-389 6836";3.0
4;4;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15624114;Uudenkylänkatu 4 A, Hakametsä, Tampere;Hakametsä;160709.62;174000.0;53.5;3252.34;66.61;142.45;209.06;Sauna: 12 EUR/kk. Parkkipaikan maksut: 15 EUR/kk. Muut maksut: Vesimaksu kulutuksen mukaan, laskutus 4kk välein. Kylmä autopaikka 10 €/kk, lämmin autopaikka 15 €/kk, autotallivuokra 60 €/kk. Varastovuokrat: pieni 15 €/kk, keskikoko 20 €/kk, iso 25 €/kk. Arvioitu lainaosuus hissien uusimisesta n. 3.848,46€ tai pääomavastikkeena n. 20,01 €/kk, pääomavastiketta ryhdytään keräämään 1.1.2021.;3 / 5;2h, k, kph/wc, lasit. p;2.0;sopimuksen mukaan;True;Pesutilojen kuvaus: Wc-istuin, suihku, pesukoneliitäntä, peilikaappi. Tila laatoitettu.;False;False;;;Hallituksen korjaussuunnitelman mukaan: 09/2019-10/2020 Hissien uusiminen 2021-2023 Ylläpitohuoltoa;1989 E-talon katon vesieristeiden uusinta. 1990 A B ja C-talon kattojen vesieristeiden uusinta. 1994 A-talon julkisivujen betonipintojen hiekkapuhallus, betoniterästen korjaus, elementtisaumaus ja huoltomaalaus sekä ikkunoiden ja ovien puurakenteiden maalaus. 1996 C-talossa vastaavat toimet kuin A-talossa -94. 1998 lämpökeskuslaitteiden uusinta, käyttöveden runkojohtojen ja sulkuventtiilien uusinta, linjasäätö- ja sulkuventtiilien uusinta, huoneistojen termostaattien asentaminen ja lämpötilojen tasapainotus. 2003 B- ja E-talossa vastaavat toimet kuin A-talossa -94. 2004 käyttölukituksen uusiminen ja oman ADSL-laajakaistan hankinta. 2006 sokkelien vedeneristäminen B-talossa ja osittain C-talossa, jätteiden syväkeräysastioiden hankinta. 2007 pihavalaistuksen ja autolämpöpaikkojen + kaapeloinnin uusiminen. 2009 ikkunoiden ja parvekeovien uusiminen, profiilijulkisivujen lisälämmöneristäminen ja profiilien uusiminen. 2010 poistoilmalaitteiden ja kanaviston puhdistus mittaus ja säätö. 2011 poistoilmaimureiden uusiminen A-taloon sekä E-talon portaisiin C ja D, kaikkien huoneistojen ulkoseinien lämpökamerakuvaus huoneistosta tehtynä + yläkertahuoneistojen yläpohjakuvaus. 2012 E-talon B-portaan pyöräsuojan ja tomutushuoneen väliin tehtiin kulkuaukko. 2013 täydellinen kattosaneeraus, kaikkien ulko-ovien uusiminen, lämmön talteenottojärjestelmän hankinta ja liittyminen kiinteään kaapeli TV- sekä laajakaista verkkoon. 2014 Pihakeinun hankinta, E-talon puomin vaihto luonnonkiviin ja uuden puomin hankinta C-talon kulkuväylälle. 2015 LVIS hankesuunnitelman laatiminen ja putkiremontin suunnittelun aloitus. 2016 Perinteisen putkiremontin toteutussuunnittelu. 2017 LVIS-saneeraus alkoi. Selvitettiin rakennusoikeuden myymisen mahdollisuuksia. 2018 LVIS-saneeraus valmis: uusittiin kaikki märkätilat ja vesikalusteet, kaikki vesi- ja viemäriputket pl. pohjaviemärit, sähkö-, tietoliikenne- ja antenniverkot, sähköpääkeskus ja asuntojen ryhmäkeskukset, huoneistojen ovet, autotallien ovet, pihavalsistus, rappukäytävien lattiat ja seinät sekä rakennusten saunaosastot. Pistetalojen eteen kivetystä ja istutuskaukalot. 2019 E-talon A-, B- ja C-rappujen hissit uusittu;"HUOM!! Nyt vapautumassa kolmannen kerroksen, valoisa asunto Hakametsästä.

Tässä asunnossa on tilava, erillinen keittiö, suuri olohuone, johon sopii myös ruokapöytä sekä kookas makuuhuone liukuovikaapistolla. Kaikki neliöt on käytetty tehokkaasti hyödyksi. Kylpyhuoneessa on paikka pesutornille ja lasiset suihkuseinät. Lasitettu parveke on kuin yksi huone lisää keväästä pitkälle syksyyn. Asumismukavuutta lisää olohuoneen viilennyspumppu. Kaikki pinnat on remontoitu parin vuoden sisällä. Mustavalkoinen keittiö on ajaton; kaapistot ja välitilat ovat valkoiset ja taso on tyylikäs musta. 

As Oy Kokonnäre on vuonna 1972 omalle tontille valmistunut yhtiö. Kiinteistöön on tehty kaikki suuret remontit ja viimeisimpänä juuri valmistumassa hissiremontti. Yhtiö koostuu neljästä rakennuksesta, jotka muodostava 120 asunnon kokonaisuuden ja autopaikkoja on reilusti yli 100. Hakametsän jäähalli on kadun toisella puolella ja Kalevan Prisma n. 500 metrin päässä. TKL:n bussilinjat kulkevat viiden minuutin välein ja Kaupin urheilumaastot ovat vieressä. 

KOHTEESEEN TUTUSTUMINEN:
HUOM! Pirkanmaan Laatuvälitys Oy haluaa omalla toiminnallaan tehdä kaikkensa, jotta koronavirus saadaan kuriin mahdollisimman tehokkaasti. Tämän vuoksi yleisesittelyjä emme pidä ollenkaan vaan epidemian aikana järjestämme ainoastaan yksityisnäyttöjä. Kun haluat tutustua tähän kohteeseen, jätäthän ystävällisesti yhteydenottopyynnön tai otat suoraan yhteyttä kohteen välittäjään. Yksityisesittely järjestyy joustavasti aikataulusi mukaan!

Ohjeita esittelyyn tulevalle:
- Kun varaat yksityisen esittelyn, varmistuthan siitä, että olet terve.
- Mikäli koet, että sinulla tai jollakin perheenjäsenelläsi on flunssan oireita (nuha, yskä, kurkkukipu tai kuume) älä tule esittelyyn vaan ota yhteyttä niin siirretään se myöhempään ajankohtaan.
- Näytöillä noudatetaan viranomaismääräyksiä ja suosituksia esim. käsihygienian suhteen.

Tervetuloa tutustumaan!

Esittelyt ja lisätiedot:
Mentor Orllati
045 606 3434
mentor.orllati@huom.fi
facebook.com/kiinteistomentor";3.0
5;5;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15624089;Yliopistonkatu 46 A, Keskusta, Tampere;Keskusta;168858.62;179900.0;46.5;3868.82;64.88;142.6;207.48;"Autopaikka 20€/kk ja talli 110€/kk
Hoito- ja rahoitusvastike määräytyvät suhdelukuperusteisesti. Suhdeluku on n. 33.5/osake asuinhuoneistoissa.";2 / 7;2h,kk,kh;2.0;Myydään vuokrattuna;False;Kylpyhuone, suihku, suihkuseinä, peilit, kaapit, pesukoneliitäntä, kiinteät valaisimet, peilin alla oleva taso.;False;False;Kaapistoja, kellarikomero;Ikkunat Yliopistonkadulle;"Suunnitellut: Suunnitellut kunnossapito ja muutostyöt:
2019-2023 normaalit huoltotyöt, 2019 pesutilojen saumojen (silikoni) tarkistus ja uusinta tarvittaessa, 2019 tuloilmasuodattimien vaihto ja vesilukkojen puhdistus, 2021-2025 hissien tarkistus ja korjauksen suunnittelun aloitus";2008 vesikaton saneraus ja porrashuoneisden kunnostus, 2008 putkiremontti sis käyttövesijohdot, viemärit sekä huoneistojen kph:t ja lämmönsiirtimet uusittu, saunat uusittu ja sadevesiviemärit uusittu(tarkast. 2017), 2010 linjaventtiilit ja patterien säädöt sekä patteritermostaattien vaihdot, 2011-2012 ilmanvaihdon saneeraus ja lämmön talteenotto, 2013 ikkunaremontti ja ikkunan allaolevan seinärakenteiden korjauksia Yliopistonkadun pohjoispuolen seinän osalta, 2014 palovahinkosaneeraus(A 1 sattuneesta palosta,savuvahinkoja A- portaassa ja asunnoissa, A1 remontoiminen kokonaan ja A 2 osittain), 2016 julkisivu ja parvekesaneeraus, 2016-2017 C 57 käyttötarkoituksen muutos liike- ja varastotiloiksi, sprinklereiden asennus k.o. tilaan, 2017 hissien kuntotarkastus KONE oy, 2018 valokaapelin asennus 10/10M huoneistoille, 2018 autotallien ovien uusinta sisäpihalla, autotallien sähköistyksen uusinta, sekä pesuhuoneen ja polkupyörävaraston ovien uusinta.;"Nyt myynnissä loistopaikan koti Sorsapuiston läheisyydestä. Tämä hyvin hoidetun taloyhtiön näppärä kaksio on siistiksi remontoitu ja palvelee hienosti pariskuntaa tai yksin asuvaa.

Lattioissa on siistit laminaatit ja seinät ovat hyväpintaisia. Kylpyhuone on laatoitettu LVIS-saneerauksen yhteydessä ja sinne mahtuu jopa pesukone.

Tehokas keittokomero on varustettu normaalein varustein ja kaapistot on uusittu.

Tämä asunto myydään vuokrattuna.

Sovi kanssani yksityisesittely tähän kotiin:
Markku Mäkiselkä 050-3896802";2.0
6;6;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15624053;Tesomankatu 20 C, Tesoma, Tampere;Tesoma;91000.0;91000.0;58.5;1555.56;140.72;191.81;332.53;Sauna: 8 EUR/kk. Parkkipaikan maksut: 8 EUR/kk. Muut maksut: Vesimaksu kulutuksen mukaan, mahdollisuus maksaa ennakkoon kuukausittain. Tasataan kerran vuodessa..;3 / 3;2h+k;2.0;max 3 kk kaupanteon jälkeen;True;Varustus: pesukoneliitäntä, lattialämmitys, wc-istuin, suihku.;False;False;vaatehuone, kellarikomero;;2019-2021 Alkuperäisten 6 kpl huippuimureiden uusiminen 2 kpl /vuosi 2019-2020Pihan viheralueiden kunnostus suunnittelu ja toteutus 2021 Julkisivun pesu/elementtiesaumojen uusiminen 2023-2024 Pihateiden asvaltin uusiminen sekä rännikaivojen asennus Pohjaviemärin huuhtelu viiden vuoden välein (tehty 04/2015);"1992 Julkisivuelementtien saumaus 2001 Julkisivun ja parvekkeiden kuntotutkimus 2003 Liittynyt kaapelitelevisioverkkoon 2004-2005 Julkisivumaalaus 2006-2007 Porrashuoneiden seinien maalaus 2009 Peruskuntoarvio 2010 Lämmönsiirrin, patteriventtiilien uusiminen, lämpöjen tasapainoitus 2010 ulko-ovien ja vesikaton uusiminen 2010 Ilmavaihdon puhdistus 2012 A- ja B-talojen välinen lämpöjohto uusittu 2014 LVV peruskuntoarvio laadittu 2014 Ikkunat ja parvekeovet uusittu 2018: talotekniikkasaneeraus; uusittu käyttövesiputket ja viemärit, kylpyhuoneiden vedeneristeet/ vesikalusteet, asennettu huonesitokohtaiset vesimittarit ja lattialämmitys, sähköverkko ja tietoliikennekaapeloinnit (valokuitu) saunatilojen kunnostus ilmanvaihdon puhdistus ja säätö (k-rapun iv-kone uusittu). kellarikäytävän lattian ja seinien huoltomaalaus, parvekeritilät ja uusi jätekatos. koko yhtiön lukoston uusiminen, Abloy Sento 2018 kaapelit v ja taloyhtiölaajakaista 10M (Telia) 2019 uusittu a- ja c-rapun iv-kone.";"Olen valoisa ylimmän kerroksen koti, joka etsii juuri sinua, joka pidät huolta minusta.  Tarjoan sinulle puitteet rauhalliseen asumiseen lenkkipolkujen läheisyydestä, eikä aamu-uinnille ole pitkä matka. Luotani pääset kätevästi vaikkapa bussilla kaupungille ja kävellen kaupoille, joita löytyy useampi läheisyydestäni. Minusta on pidetty oikein hyvää huolta ja viimeisimpänä uudistuksena on tehty putkistosaneeraus kaksi vuotta sitten. 

Älä mieti enää vaan ota rohkeasti yhteyttä Kiriliin, niin tehdään yhdessä sinun unelmasta totta! 

Lisätiedot ja esittelyt:
Kiril Kabanen / 0505316033
kiril.kabanen@remax.fi

RE/MAX ehkäisee osaltaan koronaviruksen leviämistä. Epidemian aikana järjestämme ainoastaan yksityisesittelyitä. Tervetuloa tutustumaan!";3.0
7;7;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15623522;Härmälänkatu 23 B, Rantaperkiö, Tampere;Rantaperkiö;75535.67;108000.0;48.0;2250.0;201.6;0.0;201.6;Sauna: 12 EUR/kk. Parkkipaikan maksut: 7 EUR/kk;1 / 2;2h+k+parveke;2.0;;True;Varustus: pesukoneliitäntä, wc-istuin, suihku, peilikaappi.;False;False;kellarikomero;;- Huopakaton kunnon seuranta - Energiaselvitys, esim. maalämpöjärjestelmä - Lukitus- ja avainjärjestelmän uusiminen;1993 lukot uusittu,1995 vesikatto,bitumi,rapputilat korjattu, 1998 ovet ja ikkunat uusittu,2006 sokkelia korjattu, tallien ovet maalattu, 2007 kaukolämpölaitteisto uusittu ja termostaattiventiilit asennettu, 2008 lämmityjärjestelmä tasapainoitettu, tulovesiputki kadunlinjasta talon vesimittarille uusittu, 2009 talon A-B rapun ulko-ovet uusittu, 2015 täysi putkiremontti,saneerattu kaikki kylpyhuoneet,2015 saneerattu saunatilat,2015 kylmiö poistettu käytöstä ja tilalle tehty pesutupa ja kuivaushuone, 2017 parvekkeiden kuntotutkimus, 2018 parvekkeet kunnostettu,2018 pystyrännit ja nousutikkaat uusittu, 2018 julkisivu, parvekeseinä levytys uusittu.;"Rantaperkiössä Härmälän rajalla hyväkuntoinen läpitalon kaksio. Yhtiössä tehty perinteinen putkiremontti ja samalla sähköt (LVIS). Remontin yhteydessä uusittu kylpyhuone. Yhtiössä myös uusittu ikkunat ja parvekkeet. Lähivuosina ei siis remonttihuolia tiedossa. 
Tässä sijoittajalle hyvä mahdollisuus. Asunnossa valmiiksi hyvä vuokralainen. Vuokra 640 €/kk.
Asunto sijaitsee hienojen ulkoilumaastojen läheisyydessä ja hyvien kulkuyhteyksien päässä. Tampereen keskustaan matkaa alle 10 min.
Asunnosta ei vielä saatavilla sisäkuvia, mutta ne ovat tulossa.
Soita ja sovi itsellesi sopiva esittelyaika!
Poikkeustilan aikana esittelyt vain yksityisnäyttöinä. Esittelyssä mahdollisuus käsien pesuun. Ethän tule sairaana esittelyyn.

Lisätiedot ja esittelyt:
Juha Tupala p. 0400 611361
juha.tupala@remax.fi";1.0
8;8;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15623281;Kuninkaankatu 33, Keskusta, Tampere;Keskusta;185000.0;185000.0;53.0;3490.57;0.0;127.2;127.2;;5 / 7;2h + k + kh+ vh + p;2.0;Asunto on vuokrattu.  irtisanomisaika 6 kk.;True;;False;False;;;Vesikatteen uusiminen sisältäen pelti- ja kermiosuudet sekä tuuletusparvekkeiden laatat ja kaiteen 2020;Hissien saneeraus 1989-91, Huopakaton korjaus 1993, Vesikourujen uusiminen (pihapuoli 1992 ja katupuoli 1993), Saunan kunnostus 1997, Kylmäkellarin muutos ilmalauhdutteiseksi 1995, LVIS-saneeraus: uusittu käyttövesi- ja viemäriputkistot, sähkönousut ja huoneistojen ryhmäkeskukset, asennettu uusi antenniverkko ja yleiskaapelointi 2003-04, Lukkojen ja avainten uusiminen 2005, Julkisivusaneeraus: uusittu ikkunat ja ovet, uusittu parvekelaatat ja julkisivulevytys, uusittu lämmöneristys, uusittu autopaikkojen sähkökotelot 2008, Hissikorien sisäpintojen verhous 2009, Kaukolämpöön liittyminen ja kaukolämpölaitteiden hankinta 2012, Sisääntulokerrosten lattiapintojen uusiminen ja sisääntulokerrosten maalaus 2017, Kylmäkellarin muutos ulkoiluvälinevarastoksi 2018;"Ydinkeskustassa viidennen kerroksen kaksio.
Erinomainen tilaisuus esim. sijoittajalle.
Sijainti on yksi kaupungin arvostetuimpia: Sokos vieressä, Alarannan tori lähellä, julkinen liikenne sopivan kaukana, n. 200 metriä. Huoneisto on vuokrattu toistaiseksi voimassaolevalla sopimuksella. Irtisanomisaika on 6 kk.
Yhtiö on omatonttinen ja isot remontit on suoritettu.
Hoitovastike 127,20 € !";5.0
9;9;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15623316;Lentovarikonkatu 2 A, Härmälänranta, Tampere;Härmälänranta;71449.7;139800.0;39.0;3584.62;355.2;179.4;534.6;;2 / 5;1h,tpk,kph,vh,rp;2.0;heti;True;Varustus: pesukoneliitäntä, lattialämmitys, wc-istuin, suihku, peilikaappi.;False;False;Kuvaus: Kaapistoja sekä huoneistokohtainen irtaimistovarasto taloyhtiön tiloissa kellarikomero;;;;"Nyt myynnissä 2016 valmistunut tasokas ja erittäin hyvin pidetty kaksio. Pohjaratkaisussa neliöt on käytetty tehokkaasti.  Erillinen makuuhuone, sekä tilava vaatehuone lisäävät asuinmukavuutta. Huoneisto avautuu suojaiselle sisäpihalle puistomaiseen ympäristöön.
Asunto on heti vapaa ja mahdollisuus ostaa myös autohalliosake viereisestä pysäköintilaitoksesta.
Tervetuloa Härmälänrantaan hyvien palveluiden ja kulkuyhteyksien varrelle. Upeat ulkoilumaastot järvimaisemissa kutsuvat nauttimaan. Soita heti ja sovi yksityisesittely: Matti Hynninen, p. 050 4460023.";2.0
